transformed_content,category
thyme date thu 28 sep 2000 pdt subject san juan index 7bit phillip k allen jeffrey hodg mail lian discuss yesterday concern attempt manipul el paso san juan monthli index singl buyer enter marketplac septemb 26 27 paid market price san juan ga intent distort index time trade offer physic ga significantli 10 15 cent lower price bypass order establish higher trade report index calcul addit trade line associ financi swap san juan compil list financi physic trade execut septemb 25 septemb complet list trade enron onlin eol enron direct phone convers three brokerag firm amerex apb prebon pleas see attach spreadsheet trade trade list summari also includ summari ga daili price illustr valu san juan base sever spread relationship two key point data follow high physic price 26th 27th much greater high financi trade day spread relationship san juan point socal northwest consist end septemb octob ga daili make sens monthli indec dramat differ understand review trade submit outlier hope trade submit reveal counterparti name abl determin one buyer trade outlier want give addit point refer aid establish reason index enron belief trade higher market trade exclud calcul index desir reliabl accur indec conduct physic financi busi pleas contact anytim assist toward goal sincer phillip allen,Business Documents
thyme date tue 26 sep 2000 pdt kholst subject invest structur 7bit phillip k allen kholst mail forward phillip k pm georg richard cbpre pm pleas respond cbpre phillip allen pallen cc larri lewter retwel claudia crocker clclegal2 subject invest structur structur typic structur limit partnership corpor llc gener partner gener partner own 1 project carri liabil construct land ownership loan properti would purchas name limit partnership land loan land improv loan construct loan would name limit partnership individu investor princip creeksid would also person guarante loan investor sign loan gener mean larger amount cash requir investor share profit reduc loan residenti construct intend full recours loan pursu multifamili rental develop construct loan still full recours mortgag often use initi invest initi invest use land deposit engin architectur design soil test survey file fee legal fee organ condominium associ format apprais unlik mani real estat invest program none fund use fee creeksid builder llc profession expens incur estim 6 month design approv period earli land cost per month cost list cash flow part land cost repres extens fee due seller 4 month extens close altern close land loan probabl 70 apprais valu land valu equal purchas price would mean land loan estim monthli interest payment given 10 annual interest rate plu approxim loan amount close cost loan fee equiti improv loan site plan approv citi austin citi requir develop entiti post fund fiscal improv refer fiscal cost repres bond complet improv coa consid vital fund releas improv complet accept coa releas 90 cost remain 10 releas one year complet releas grant everi 90 day expect releas would occur 6 month start lot improv construct fiscal usual post cash irrevoc letter credit count develop cost even though spent spent interest charg fund lot improv loan typic 75 apprais valu finish lot suspect least potenti high would produc loan amount per lot estim per lot improv cost land cost total improv lot cost mean 0 per lot total equiti invest prior obtain improv loan would count toward equiti requir provid direct cost thu addit equiti improv loan would even maximum loan would cover cost unlik bank would allow reimburs fund spent higher estim equiti invest shown preliminari proforma safe side engin prepar tent site layout initi evalu phase significantli reduc cash equiti requir phase work follow first phase say 40 unit total lot improv cost might averag per lot probabl would improv land cost improv higher cover larg one time front cost design cost entri road water treatment cost perimet fenc landscap well 100 land land loan undevelop lot would 70 apprais raw lot valu would estim per lot loan valu per lot loan valu improv lot would per lot would give total loan total cost equiti requir present initi analysi phase depend care assess civil engin separ phase must abl stand util standpoint construct loan three type construct loan first specul spec loan taken prior activ second construct loan unit loan remain name third unit construct loan name buyer expect 8 spec loan start project expect loan unit loan name expect construct loan name buyer loan difficult manag pleas new buyer unfamiliar process spec loan 70 75 valu construct loan unit construct loan mortgag lender 80 95 valu disburs disburs handl gener partner cover current near term third parti cost necessari reserv prioriti payment partner per agreement gener partner contract creeksid builder llc construct unit fee cb includ construct manag overhead fee equal 15 direct hard cost exclud land financ sale cost fee moni creeksid larri lewter prior calcul profit except direct reimburs partnership expens b direct payment cb subcontractor cost perform exampl cb find good trim carpent sub find enough trim carpent decid undertak function charg partnership fee abl obtain third parti disclos case partnership final cb receiv fee use equip use lieu leas equip other present cb signific equip consid purchas sky track facilit speed frame cornic roof drywal spread report will provid report track expens plan mind would like use form internet base report bookkeep sure refer question bookkeep procedur record actual expens pleas expand investor input glad investor input design materi alway question final say disagr experi alway abl reach consensu presum keith want involv learn much possibl would make everi effort accommod creeksid proceedur cb procedur deal sub vendor profession formal question indic extrem tight labor market obtain 3 bid labor trade feasibl profession sub use develop previou rapport final vendor constantli shop profession sub vendor ye mani differ sub identifi provid interest know answer everyth start point call review discuss sincer georg richard presid creeksid builder llc,Business Documents
thyme date tue 26 sep 2000 pdt pallen70 subject invest structur 7bit phillip k allen pallen70 mail forward phillip k pm georg richard cbpre pm pleas respond cbpre phillip allen pallen cc larri lewter retwel claudia crocker clclegal2 subject invest structur structur typic structur limit partnership corpor llc gener partner gener partner own 1 project carri liabil construct land ownership loan properti would purchas name limit partnership land loan land improv loan construct loan would name limit partnership individu investor princip creeksid would also person guarante loan investor sign loan gener mean larger amount cash requir investor share profit reduc loan residenti construct intend full recours loan pursu multifamili rental develop construct loan still full recours mortgag often use initi invest initi invest use land deposit engin architectur design soil test survey file fee legal fee organ condominium associ format apprais unlik mani real estat invest program none fund use fee creeksid builder llc profession expens incur estim 6 month design approv period earli land cost per month cost list cash flow part land cost repres extens fee due seller 4 month extens close altern close land loan probabl 70 apprais valu land valu equal purchas price would mean land loan estim monthli interest payment given 10 annual interest rate plu approxim loan amount close cost loan fee equiti improv loan site plan approv citi austin citi requir develop entiti post fund fiscal improv refer fiscal cost repres bond complet improv coa consid vital fund releas improv complet accept coa releas 90 cost remain 10 releas one year complet releas grant everi 90 day expect releas would occur 6 month start lot improv construct fiscal usual post cash irrevoc letter credit count develop cost even though spent spent interest charg fund lot improv loan typic 75 apprais valu finish lot suspect least potenti high would produc loan amount per lot estim per lot improv cost land cost total improv lot cost mean 0 per lot total equiti invest prior obtain improv loan would count toward equiti requir provid direct cost thu addit equiti improv loan would even maximum loan would cover cost unlik bank would allow reimburs fund spent higher estim equiti invest shown preliminari proforma safe side engin prepar tent site layout initi evalu phase significantli reduc cash equiti requir phase work follow first phase say 40 unit total lot improv cost might averag per lot probabl would improv land cost improv higher cover larg one time front cost design cost entri road water treatment cost perimet fenc landscap well 100 land land loan undevelop lot would 70 apprais raw lot valu would estim per lot loan valu per lot loan valu improv lot would per lot would give total loan total cost equiti requir present initi analysi phase depend care assess civil engin separ phase must abl stand util standpoint construct loan three type construct loan first specul spec loan taken prior activ second construct loan unit loan remain name third unit construct loan name buyer expect 8 spec loan start project expect loan unit loan name expect construct loan name buyer loan difficult manag pleas new buyer unfamiliar process spec loan 70 75 valu construct loan unit construct loan mortgag lender 80 95 valu disburs disburs handl gener partner cover current near term third parti cost necessari reserv prioriti payment partner per agreement gener partner contract creeksid builder llc construct unit fee cb includ construct manag overhead fee equal 15 direct hard cost exclud land financ sale cost fee moni creeksid larri lewter prior calcul profit except direct reimburs partnership expens b direct payment cb subcontractor cost perform exampl cb find good trim carpent sub find enough trim carpent decid undertak function charg partnership fee abl obtain third parti disclos case partnership final cb receiv fee use equip use lieu leas equip other present cb signific equip consid purchas sky track facilit speed frame cornic roof drywal spread report will provid report track expens plan mind would like use form internet base report bookkeep sure refer question bookkeep procedur record actual expens pleas expand investor input glad investor input design materi alway question final say disagr experi alway abl reach consensu presum keith want involv learn much possibl would make everi effort accommod creeksid proceedur cb procedur deal sub vendor profession formal question indic extrem tight labor market obtain 3 bid labor trade feasibl profession sub use develop previou rapport final vendor constantli shop profession sub vendor ye mani differ sub identifi provid interest know answer everyth start point call review discuss sincer georg richard presid creeksid builder llc,Business Documents
thyme date tue 26 sep 2000 pdt subject 7bit phillip k allen ina rangel mail forward phillip k pm reschedul chairperson richard burchfield sent cindi cicchetti start pm end pm descript ga posit room 2537 meet repeat start date occur weekend meet meet date fletcher j scott hunter phillip k allan scott russ detail descript forward phillip k pm confirm chairperson richard burchfield sent cindi cicchetti start pm end pm descript ga posit room 2537 meet repeat start date occur weekend meet meet date fletcher j scott hunter phillip k allan scott russ detail descript statu updat fletcher j sturm respons scott neal respons hunter shive respons phillip k allen respons allan severud accept scott mill accept russ severson respons forward phillip k pm reschedul chairperson richard burchfield sent cindi cicchetti start pm end pm descript ga trade vision meet room eb2601 meet repeat start date occur weekend meet meet date phillip k ect hunter ect scott ect allan ect jeffrey c ect colleen ect russ ect jayant ect russel ect detail descript forward phillip k pm confirm chairperson richard burchfield sent cindi cicchetti start pm end pm descript ga trade vision meet room eb2601 meet repeat start date occur weekend meet meet date phillip k ect hunter ect scott ect allan ect jeffrey c ect colleen ect russ ect jayant ect russel ect detail descript statu updat phillip k allen respons hunter shive respons scott mill respons allan severud accept jeffrey c gossett accept colleen sullivan respons russ severson respons jayant krishnaswami accept russel long accept forward phillip k pm reschedul chairperson richard burchfield sent cindi cicchetti start pm end pm descript ga posit room 2537 meet repeat start date occur weekend meet meet date fletcher j scott hunter phillip k allan scott russ detail descript forward phillip k pm confirm chairperson richard burchfield sent cindi cicchetti start pm end pm descript ga posit room 2537 meet repeat start date occur weekend meet meet date fletcher j scott hunter phillip k allan scott russ detail descript statu updat fletcher j sturm respons scott neal respons hunter shive respons phillip k allen respons allan severud accept scott mill accept russ severson accept forward phillip k pm cindi cicchetti phillip k ect hunter ect scott ect allan ect jeffrey c ect colleen ect russ ect jayant ect russel ect cc subject ga trade vision mtg meet move room sent confirm via lotu note sorri chang schedul problem coupl peopl origin time slot,Business Documents
thyme date tue 26 sep 2000 pdt subject 7bit phillip k allen ina rangel mail forward phillip k pm invit chairperson richard burchfield sent cindi cicchetti start end pm descript ga trade vision meet room eb2556 meet repeat start date occur weekend meet meet date phillip k hunter scott allan jeffrey c colleen russ jayant russel detail descript,Business Documents
thyme date tue 26 sep 2000 pdt subject ga posit 7bit phillip k allen ina rangel mail forward phillip k pm cindi cicchetti phillip k ect hunter ect scott ect allan ect russ ect fletcher j ect scott ect cc subject ga posit schedul enter calendar meet referenc topic take place thursday room eb2537,Business Documents
thyme date tue 26 sep 2000 pdt jsmith subject close 7bit phillip k allen jsmith mail forward phillip k bs stone jeff jeff cc phillip k allen subject close jeff close today review agreement find bind far vagu sound like anyth attorney titl compani would draft real estat close cours could close go take place without agreement point follow document need go back close document see find deal best guess expect someth would exhibit record document someth littl exact rather sort tri get real estat atti phone last night talk crim atti friend said area sound bind go back mine phillip allen transact take look vagu gener doubt signatur even need complet 12 noon need contact regard close realli want hold anyth gener work want insult annoy anyon paper realli seem someth requir event need signatur someth like would rather time review accept brenda,Business Documents
thyme date mon 25 sep 2000 pdt subject 7bit phillip k allen ina rangel mail forward phillip k pm reschedul chairperson richard burchfield sent cindi cicchetti start pm end pm descript ga posit room 2537 meet repeat start date occur weekend meet meet date fletcher j scott hunter phillip k allan scott russ detail descript meet richard reschedul pm cdt 1 hour richard chairperson fletcher j invit scott invit hunter invit phillip k invit allan invit scott invit russ invit ga posit room 2537,Business Documents
thyme date wed 20 sep 2000 pdt cbpre subject 7bit phillip k allen cbpre mail georg list question keith regard westgat project ownership structur ownership structur limit partnership gener partner legal entiti involv capac regard ownership liabil own land improv hold variou loan land collater invest happen initi invest use purchas land cash secur futur loan land cost spread cash flow statement actual need land close invest schedul invest return equiti repay return origin invest plan wait last unit sold close profit distribut debt entiti borrow loan recours collater associ loan improv construct two loan look like cash flow statement term loan use fund disburs made type bank account control max disburs internet view investor report track expens vs plan bookkeep procedur record actual expens relationship creeksid builder project get paid markup subcontractor gener contractor paid gain profit larri receiv money form salari person expens ultim payout profit design construct design complet input investor select design materi unit level investor involv possibl construct plan permit creeksid specif procedur deal subcontractor vendor profession alway get 3 bid payment schedul refer check specif compani individu alreadi plan use name question probabl basic first time investor project like new also want learn much possibl process phillip,Business Documents
thyme date tue 19 sep 2000 pdt pallen70 subject westgat 7bit phillip k allen pallen70 mail forward phillip k pm georg richard cbpre pleas respond cbpre phillip allen pallen cc larri lewter retwel subject westgat enclos preliminari proforma westgat properti austin told tell proforma project produc truli except return 40 per year 3 year especi attract project market strong austin introduc new product low price rang market best project term risk reward uncov date austin market project approv zone requir site plan smart growth corridor area design citi austin prefer develop fast track complet less 6 month addit mani current sever water treatment ordin waiv estim lot improv cost base 28 lot develop investig north austin includ filtrat pond street widen even though properti like requir street widen less filtrat pond requir use data cautiou lone star ga line easement lower portion properti expect impact sale significantli project quit success ident relationship pipelin adjoin singl famili residenti project edward univers infil project qualiti surround neighborhood uneven includ fenc around entir properti may put westgat cameron loop gate commun far prefer good idea screen current buyer prefer seller accept offer thursday even price extend escrow enabl us probabl obtain approv site plan close contract mean close loan rather land loan improv loan analysi show invest 50 interest profit project discuss san marco also discuss invest lot sell lot construct entiti profit lot believ would facilit use 1031 exchang proce deal anoth project rental deal least land rental project would equiti project would need discuss exchang expert first larri lewter know expert field san antonio know anyon send packag properti prepar broker airborn express today saturday deliveri read packag review proforma would want schedul tour site area pleas get back soon schedul permit regard site visit feel free call time reach weekend even either cell phone fax look forward hear work project sure major winner regret took long get back unusu event past week small freakish wind storm sever downdraft hit south part austin build 10 town home one unit roof deck side schedul start next day sever downdraft hit deck roof enough knock citi shut project week took anoth week get everi thing back tract last week take wife emerg bulg materi vertebra spine caus extrem pain kept bedridden past week noth like wife incapacit realiz enorm number thing everyday fortun look ok long run georg richard creeksid builder llc westgat,Business Documents
